0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.62,,,,,,654.05,,,,,,,,,,,653.93,,,,,,654.05,,,,,,,,,,,,,,,,,653.96,,,,,,653.98,,,,,,654.16,,,,,,654.02,,,,,653.98,,,,,,,,,,,,,,,,,,,,,,,653.65,,,,,,653.32,,,,,,652.85,,,,,,,,,,,,,,,,,652.87,,,,,,652.86,,,,,,653.28,,,,,653.05,,,,,,,,,,,,652.8,,,,,,652.83,,,,,,,,,,,,,,,,,652.72,,,,,,652.63,,,,,,,,,,,,,,,,,,652.38,,,,,652.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.89,,,,,,653.95,,,,,,653.51,,,,,,,,,,,653.53,,,,,,653.91,,,,,,,,,,,654.2,,,,,,654.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.02,,,,,,653.97,,,,,,653.76,,,,,653.76,,,,,,,,,,,,,,,,,,,,,,,652.9,,,,,,652.74,,,,,,,,,,,652.96,,,,,,,,,,,,,,,,,,653.01,,,,,,,,,,,,,,,,,652.92,,,,,,652.73,,,,,,652.66,,,,,652.57,,,,,,652.69,,,,,,652.38,,,,,,652.39,,,,,,,,,,,,652.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.9,,,,,,,,,,,,,,,,,654,,,,,,,,,,,,,,,,,,653.94,,,,,,653.85,,,,,654.15,,,,,,653.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.7,,,,,,653.36,,,,,,652.92,,,,,,,,,,,,,,,,,652.88,,,,,,,,,,,653.28,,,,,,653.12,,,,,,653,,,,,,652.81,,,,,652.84,,,,,,652.85,,,,,,,,,,,,,,,,,,,,,,652.65,,,,,,,,,,,,,,,,,,,652.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.9,,,,,653.84,,,,,,653.39,,,,,,,,,,,,653.41,,,,,653.81,,,,,,,,,,,,654.15,,,,,,654.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.91,,,,,,653.78,,,,,,653.77,,,,,,,,,,,,,,,,,,,,,,,653.01,,,,,,652.78,,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,,652.87,,,,,,652.88,,,,,,,,,,,,652.74,,,,,652.59,,,,,,652.53,,,,,,,,,,,,652.38,,,,,652.26,,,,,,652.2,,,,,,652.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.82,,,,,,,,,,,,653.81,,,,,,,,,,,,,,,,,653.81,,,,,,,,,,,,,,,,,654,,,,,,653.82,,,,,,654.15,,,,,,653.92,,,,,654.07,,,,,,,,,,,,,,,,,,,,,,,653.69,,,,,,653.46,,,,,,653.01,,,,,,,,,,,,,,,,,652.9,,,,,,,,,,,,653.24,,,,,653.21,,,,,,653.05,,,,,,,,,,,,,,,,,652.86,,,,,,652.67,,,,,,,,,,,,,,,,,652.59,,,,,,,,,,,,,,,,,,,,,,,,652.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.89,,,,,,,,,,,,653.24,,,,,,,,,,,653.44,,,,,,653.69,,,,,,,,,,,654.07,,,,,,653.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.88,,,,,,653.77,,,,,653.7,,,,,,,,,,,,653.51,,,,,653.08,,,,,,653.11,,,,,,652.86,,,,,,,,,,,,,,,,,,,,,,,653.17,,,,,,,,,,,652.91,,,,,,652.91,,,,,,,,,,,,,,,,,,652.54,,,,,652.48,,,,,,,,,,,,652.3,,,,,,652.24,,,,,,652.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.69,,,,,,,,,,,,653.72,,,,,,,,,,,,,,,,,653.72,,,,,,,,,,,,,,,,,653.93,,,,,,653.81,,,,,,654.09,,,,,,653.85,,,,,,654.03,,,,,,,,,,,653.75,,,,,,,,,,,,653.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.99,,,,,,652.94,,,,,,653.24,,,,,,,,,,,,653.1,,,,,,,,,,,,,,,,,652.9,,,,,,652.68,,,,,,,,,,,,,,,,652.57,,,,,,,652.22,,,,,,,,,,,,,,,,,652.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.96,,,,,,,,,,,,653.24,,,,,653.55,,,,,,,653.31,,,,,653.59,,,,,,,,,,,,654.03,,,,,,653.95,,,,,,,,,,,653.69,,,,,654.06,,,,,,,,,,,,,,,,,,653.78,,,,,,,,,,,,653.51,,,,,653.74,,,,,,653.43,,,,,,653.15,,,,,,653.17,,,,,,652.94,,,,,,,,,,,652.92,,,,,,,,,,,653.14,,,,,,653.07,,,,,,652.88,,,,,,652.92,,,,,652.94,,,,,,,,,,,,652.55,,,,,,652.4,,,,,652.54,,,,,,,,,,,,652.16,,,,,,652.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.72,,,,,,,,,,,,,,,,,653.08,,,,,,,,,,,,653.5,,,,,653.98,,,,,,,,,,,,653.87,,,,,,,,,,,,,,,,,653.7,,,,,,653.98,,,,,,,,,,,653.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,,,,,,653.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.66,,,,,,652.5,,,,,652.39,,,,,,,,,,,,652.19,,,,,,,,,,,,,,,,,652.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.01,,,,,,,,,,,653.24,,,,,,653.45,,,,,,,,,,,,653.46,,,,,,,,,,,,,,,,,653.77,,,,,,,,,,,653.71,,,,,,654.03,,,,,,,,,,,653.95,,,,,,,653.6,,,,,,,,,,,653.42,,,,,,653.66,,,,,653.42,,,,,,653.13,,,,,,653.1,,,,,,653.01,,,,,,,,,,,652.99,,,,,,,,,,,,653.15,,,,,,653.14,,,,,652.97,,,,,,652.93,,,,,,652.89,,,,,,,,,,,,,,,,,,,,,,652.47,,,,,,,,,,,,,652.1,,,,,,652.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.77,,,,,,653.23,,,,,,,,,,,,653.01,,,,,653.3,,,,,,653.35,,,,,,653.83,,,,,653.67,,,,,,653.79,,,,,,,,,,,,,,,,,,653.63,,,,,,,,,,,,,,,,,653.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,652.97,,,,,,,,,,,,653.22,,,,,,,,,,,,,,,,,652.98,,,,,,652.95,,,,,,,,,,,652.66,,,,,,652.49,,,,,,652.39,,,,,,,,,,,,652.2,,,,,652.01,,,,,,,,,,,,652.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.09,,,,,,,,,,,,,,,,,653.39,,,,,,,,,,,,,,,,,,653.25,,,,,,,,,,,,,,,,,,,,,,,653.51,,,,,653.91,,,,,,653.52,,,,,,653.82,,,,,,653.5,,,,,,,,,,,,653.26,,,,,653.64,,,,,,653.23,,,,,,653.14,,,,,653.11,,,,,,,,,,,,,,,,,,653,,,,,,,,,,,653.18,,,,,,653.13,,,,,,,,,,,,,,,,,653,,,,,,652.71,,,,,,,,,,,,,,,,,652.46,,,,,,652.12,,,,,,,,,,,,652.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.74,,,,,653.28,,,,,,,,,,,,653.02,,,,,,653.24,,,,,,,,,,,653.76,,,,,,653.51,,,,,,653.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,653.07,,,,,,,,,,,653.22,,,,,,,,,,,,653.15,,,,,653.01,,,,,,652.99,,,,,,653.01,,,,,,,,,,,,652.55,,,,,652.38,,,,,,,,,,,,,,,,,,652.04,,,,,,,,,,,652.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.16,,,,,,,,,,,,,,,,,653.38,,,,,,,,,,,,,,,,,653.12,,,,,,,,,,,,,,,,,,,,,,,653.34,,,,,,653.77,,,,,,,,,,,653.64,,,,,,653.36,,,,,,,,,,,,653.08,,,,,,653.44,,,,,653.14,,,,,,653.1,,,,,,653.03,,,,,,,,,,,,,,,,,653.16,,,,,,653.17,,,,,,653.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.69,,,,,,652.37,,,,,,652.38,,,,,652.39,,,,,,,652.1,,,,,,,,,,,652.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.22,,,,,,653.72,,,,,,653.31,,,,,653.22,,,,,,,652.91,,,,,653.08,,,,,,,,,,,,653.64,,,,,653.39,,,,,,653.56,,,,,,,,,,,,,,,,,653.36,,,,,,,,,,,,,,,,,,653.23,,,,,,,,,,,653.32,,,,,,,,,,,,,,,,,,,,,,,653.02,,,,,,653.01,,,,,,,,,,,,,,,,,653.14,,,,,,653.18,,,,,,653.09,,,,,,652.96,,,,,652.99,,,,,,,,,,,,,,,,,,,,,,,652.41,,,,,,,,,,,,652.04,,,,,,,,,,,,652.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.49,,,,,,,,,,,,,,,,,653.22,,,,,,653.65,,,,,,,,,,,,653.41,,,,,,653.11,,,,,,,,,,,652.92,,,,,,,,,,,,653.04,,,,,652.89,,,,,,652.92,,,,,,,,,,,,,,,,,653.11,,,,,,653.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.68,,,,,652.4,,,,,,652.37,,,,,,,,,,,,652.09,,,,,,,,,,,,652.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.36,,,,,,,,,,,653.31,,,,,,653.23,,,,,,652.85,,,,,,652.99,,,,,653.01,,,,,,,,,,,,653.28,,,,,,653.44,,,,,,,,,,,653.49,,,,,,653.19,,,,,,,,,,,,,,,,,653.07,,,,,,,,,,,,653.2,,,,,,,,,,,,,,,,,,,,,,,653.02,,,,,653.12,,,,,,,,,,,,,,,,,,653.19,,,,,,653.13,,,,,653.11,,,,,,652.99,,,,,,653.03,,,,,652.63,,,,,,,,,,,,,,,,,652.41,,,,,,,652.13,,,,,,652.01,,,,,,,,,,,652.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.84,,,,,,,,,,,,,,,,,652.88,,,,,,,,,,,,,,,,,653.37,,,,,,,,,,,,653.36,,,,,,653.11,,,,,,,,,,,,,,,,,653.27,,,,,,652.96,,,,,,652.92,,,,,,652.93,,,,,,,,,,,653.01,,,,,,652.9,,,,,652.79,,,,,,,,,,,,,,,,,,653.11,,,,,,653.14,,,,,,,,,,,652.99,,,,,,653.01,,,,,,652.91,,,,,,,,,,,,,,,,,652.45,,,,,,652.31,,,,,,,,,,,,,,,,,,,,,,,652.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.5,,,,,,,,,,,,653.4,,,,,653.26,,,,,,,,,,,,652.99,,,,,,652.98,,,,,,,,,,,653.22,,,,,,,,,,,,,,,,,653.41,,,,,,653.02,,,,,,,,,,,,,,,,,,,,,,,652.87,,,,,,653.17,,,,,,,,,,,,,,,,,,,,,,,652.98,,,,,,653.04,,,,,653.14,,,,,,,,,,,,653.13,,,,,,,,,,,,,,,,,,,,,,,653.02,,,,,,,,,,,,,,,,,,,,,,,652.35,,,,,,652.06,,,,,,651.98,,,,,,652.11,,,,,,652.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.91,,,,,,653.46,,,,,,,,,,,,652.9,,,,,652.83,,,,,,652.95,,,,,,653.23,,,,,,,,,,,653.22,,,,,,652.98,,,,,,,,,,,,,,,,,,653.2,,,,,,652.95,,,,,652.95,,,,,,,,,,,,,,,,,,652.9,,,,,652.76,,,,,,652.7,,,,,,,,,,,,,,,,,,,,,,,653.15,,,,,,,,,,,652.9,,,,,,653,,,,,,652.75,,,,,,,,,,,,652.57,,,,,652.43,,,,,,652.24,,,,,,,,,,,,,,,,,,651.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.55,,,,,,,,,,,,,,,,,653.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.06,,,,,,,,,,,,,,,,,653.32,,,,,,652.97,,,,,,,,,,,,,,,,,,,,,,,652.85,,,,,653.06,,,,,,,,,,,,652.74,,,,,,,,,,,,652.92,,,,,652.96,,,,,,653.15,,,,,,,,,,,653.11,,,,,,,,,,,,,,,,,,,,,,,,652.91,,,,,652.56,,,,,,652.35,,,,,,652.26,,,,,652.3,,,,,,,652.09,,,,,,,,,,,652.04,,,,,,652.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.95,,,,,,,,,,,,,,,,,652.99,,,,,,652.91,,,,,,652.97,,,,,653.2,,,,,,,,,,,,653.1,,,,,,652.9,,,,,,,,,,,,,,,,,653.03,,,,,,652.95,,,,,,652.88,,,,,,,,,,,653,,,,,,652.82,,,,,,,,,,,652.67,,,,,,,,,,,,652.8,,,,,,,,,,,,653.01,,,,,653.04,,,,,,652.76,,,,,,652.94,,,,,652.62,,,,,,652.86,,,,,,,,,,,,,,,,,,,,,,,652.3,,,,,,652.11,,,,,,652.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.6,,,,,,,,,,,,653.53,,,,,653.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.02,,,,,,,,,,,,,,,,,653.21,,,,,,652.96,,,,,,,,,,,,,,,,,,,,,,,652.81,,,,,,,,,,,,,,,,,652.64,,,,,,,,,,,,652.84,,,,,,,,,,,653.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.42,,,,,652.32,,,,,,652.2,,,,,,,,,,,,,,,,,,,,,,,,652.11,,,,,652.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.03,,,,,,653.63,,,,,,,,,,,,653.02,,,,,652.88,,,,,,652.96,,,,,,653.1,,,,,,,,,,,653.01,,,,,,652.8,,,,,,,,,,,,,,,,,653.09,,,,,,652.91,,,,,,652.82,,,,,,,,,,,652.95,,,,,,652.81,,,,,,,,,,,,652.52,,,,,652.76,,,,,,652.65,,,,,,,,,,,,652.84,,,,,652.89,,,,,,652.55,,,,,,652.82,,,,,,652.53,,,,,,652.87,,,,,,,,,,,,,,,,,,,,,,652.28,,,,,,,652.12,,,,,,652.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
